---
source: c:\EOTIR\EOTIR RPG\Directories\COMPNOR - Galactic Citizen Directory.xlsx
category: in_game_documents/laws_policies
sheets: ['Sheet1']
source_type: EOTIR RPG
extraction_date: 2025-05-03T15:31:06.225225
---

--- Sheet: Sheet1 ---

                         Name                                    Rank        Division                          Department
               Natalie Pecore                   Senior Vice President         COMPNOR          New Order Capital Holdings
                 Lisa Hallows                Executive Vice President         COMPNOR          New Order Capital Holdings
             Dr. Alex Clifton                          Vice President         COMPNOR          New Order Capital Holdings
                  Rachel Pace                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Samantha Innes                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Lerota Sweeny                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Jacob Campbell                Executive Vice President         COMPNOR          New Order Capital Holdings
               Danny Whitaker                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Heather Lockley                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Gavin Dominguez                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Julie Mitchell                       Managing Director         COMPNOR          New Order Capital Holdings
                  Marc Howard                Executive Vice President         COMPNOR          New Order Capital Holdings
                  Edward Grey                   Senior Vice President         COMPNOR          New Order Capital Holdings
           Isabella Marlanzzi                Executive Vice President         COMPNOR          New Order Capital Holdings
                  Tracey Ryan                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Owen Chastain                Executive Vice President         COMPNOR          New Order Capital Holdings
               Brent Thompson                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Chelsea Stice                   Senior Vice President         COMPNOR          New Order Capital Holdings
             Tiffany Schrader                   Senior Vice President         COMPNOR          New Order Capital Holdings
            Stephanie Platton                   Senior Vice President         COMPNOR          New Order Capital Holdings
                   Tim Marsom                   Senior Vice President         COMPNOR          New Order Capital Holdings
            Charlotte Everett                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Myka Struble                   Senior Vice President         COMPNOR          New Order Capital Holdings
            MacKenzie Sabbith                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Drew Conners                          Vice President         COMPNOR          New Order Capital Holdings
                   Mark Byers                          Vice President         COMPNOR          New Order Capital Holdings
               Roger Kalligan                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Michelle Jacobs                   Senior Vice President         COMPNOR          New Order Capital Holdings
           Madeline de Medici                Executive Vice President         COMPNOR          New Order Capital Holdings
          Francesca Galbraith                   Senior Vice President         COMPNOR          New Order Capital Holdings
             Holly Shackleton                   Senior Vice President         COMPNOR          New Order Capital Holdings
             Calvin Masterson                   Senior Vice President         COMPNOR          New Order Capital Holdings
    Alexandria Lloyd Reynolds                       Managing Director         COMPNOR          New Order Capital Holdings
                Marley Doreau                Executive Vice President         COMPNOR          New Order Capital Holdings
                  Neil Roemer                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Tristan Schultz                   Senior Vice President         COMPNOR          New Order Capital Holdings
                  Riley Crimi                   Senior Vice President         COMPNOR          New Order Capital Holdings
            Colleen Davenport                Executive Vice President         COMPNOR          New Order Capital Holdings
             Hayden Alexander                   Senior Vice President         COMPNOR          New Order Capital Holdings
                 Bryan Ritter                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Mark Laukhauf                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Collin Sattich                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Erica Keaton                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Kevin Gilmore                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Phillip Faurest                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Tina Kauffield                          Vice President         COMPNOR          New Order Capital Holdings
              Meagan Allegani                   Senior Vice President         COMPNOR          New Order Capital Holdings
                 Luc Hamilton                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Hugh Spencer                         Deputy Chairman New Order Party                    Party Leadership
                  Owen Latham                         Deputy Chairman New Order Party                    Party Leadership
                Sharon Brandt                      Committee Chairman New Order Party                  Party - Committees
               Kate Henderson                      Committee Chairman New Order Party                  Party - Committees
                 Josh Horwath                      Committee Chairman New Order Party                  Party - Committees
             Michelle Wallace                      Committee Chairman New Order Party                  Party - Committees
                   Greg Husic                      Committee Chairman New Order Party                  Party - Committees
                 Adam Billson                      Executive Director New Order Party                         Party - PAC
                  Zoe Stinson                         General Manager New Order Party                  Party - Operations
             Meredith Clausen                         Senior Director New Order Party                  Party - Operations
                  Tayna Parke                         Senior Director New Order Party                  Party - Operations
            Christian Perrett                         Senior Director New Order Party                  Party - Operations
              Catherine Irons                                Director New Order Party                  Party - Operations
                   Bert Vasta                                Director New Order Party                  Party - Operations
                  Luke Marles                         Senior Director New Order Party                  Party - Operations
                 Craig Keenan                                Director New Order Party                  Party - Operations
               Rachel Ruddock                                Director New Order Party                  Party - Operations
                Nate Anderson                                Director New Order Party                  Party - Operations
                  Ross Taylor                         Senior Director New Order Party                  Party - Operations
                 Alana Landry                                Director New Order Party                  Party - Operations
                 Clare Palmer                                Director New Order Party                  Party - Operations
                Andrew Marino                                Director New Order Party                  Party - Operations
                  Ewen Jensen                         Senior Director New Order Party                  Party - Operations
                  Angie Gould                                Director New Order Party                  Party - Operations
                 Amanda Manen                                Director New Order Party                  Party - Operations
                 Philip Truss                                Director New Order Party                  Party - Operations
                   Dan Sukkar                                Director New Order Party                  Party - Operations
              Melody Renyolds                         Deputy Minister         COMPNOR                                IRCG
              Michael Listrum                         Deputy Minister         COMPNOR                                IRCG
                 Marc Paulson                         Deputy Minister         COMPNOR                                IRCG
                Karl Lockhard                          Under Minister         COMPNOR                                IRCG
              Matthew Kirkmen                      Assistant Minister         COMPNOR                                IRCG
                   Sue Barker                      Assistant Minister         COMPNOR                                IRCG
              Fiona Fulbright                         Deputy Minister         COMPNOR                                IRCG
                  Jamye Laryn                          Under Minister         COMPNOR                                IRCG
               Brett Wheelner                      Assistant Minister         COMPNOR                                IRCG
               Kalyn Constant                      Assistant Minister         COMPNOR                                IRCG
             Cameron Tallgers                      Assistant Minister         COMPNOR                                IRCG
          Walter Westinghouse                                Minister         COMPNOR               IRCG: COMPNOR Finance
                 Gavin Jyzerk                         Deputy Minister         COMPNOR               IRCG: COMPNOR Finance
                Horace Howard                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
                 Ryan Verrill                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
                Eric Morrison                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
                  Bianca Foms                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
               Cora Maltrozki                         Deputy Minister         COMPNOR               IRCG: COMPNOR Finance
            Vanessa Brenholdt                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
                Kate Charnaux                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
                Alexis Petrov                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
                  Lucas Rexan                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
             Michelle Summers                         Deputy Minister         COMPNOR               IRCG: COMPNOR Finance
                Ellia Zavocio                      Assistant Minister         COMPNOR               IRCG: COMPNOR Finance
               Macy Davenport                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
                Rich Deposito                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
                 Mara Malvory                         Deputy Minister         COMPNOR               IRCG: COMPNOR Finance
                Graham Carsen                          Under Minister         COMPNOR               IRCG: COMPNOR Finance
                Michael Orson                                Minister         COMPNOR                      IRCG: Strategy
                   Carl Bauer                          Under Minister         COMPNOR                      IRCG: Strategy
             Dakota Mallowson                         Deputy Minister         COMPNOR                      IRCG: Strategy
                  Kane Loyles                      Assistant Minister         COMPNOR                      IRCG: Strategy
               George Mullson                         Deputy Minister         COMPNOR                Economic Development
               Michael Zurran                          Under Minister         COMPNOR                Economic Development
                   Luke Nolan                         Deputy Minister         COMPNOR                Economic Development
                Chelsey Smith                          Under Minister         COMPNOR                Economic Development
             Michelle Downing                          Under Minister         COMPNOR                Economic Development
               Ryan Fallowski                      Assistant Minister         COMPNOR                Economic Development
                  Corrie Feld                      Assistant Minister         COMPNOR                Economic Development
             Kayla Moordavier                      Assistant Minister         COMPNOR                Economic Development
                Damien Turane                         Deputy Minister         COMPNOR                             Finance
                 Taylor Yates                          Under Minister         COMPNOR                             Finance
              Michelle Kalvya                          Under Minister         COMPNOR                             Finance
                 Robert Baker                          Under Minister         COMPNOR                             Finance
              Daniel Mordikai                              Ambassador         COMPNOR                             Finance
              Luke Kenzington                         Deputy Minister         COMPNOR                             Finance
             Laurence Carlock                          Under Minister         COMPNOR                             Finance
                John McKinley                          Under Minister         COMPNOR                             Finance
                Roger Gadfrey                      Assistant Minister         COMPNOR                             Finance
                Marissa Hiles                          Under Minister         COMPNOR                             Finance
                 Sarah Houser                          Under Minister         COMPNOR                             Finance
                Cheri Lambert                            Commissioner         COMPNOR                             Finance
               Kalvin Lindsey                            Commissioner         COMPNOR                             Finance
                  Mary Morson                            Commissioner         COMPNOR                             Finance
                 Janie Blaine                      Executive Director         COMPNOR                             Finance
               Blake Driskord                      Executive Director         COMPNOR                             Finance
               Heather Baxter                          Under Minister         COMPNOR                             Finance
                  Nina Marlow                      Assistant Minister         COMPNOR                             Finance
                Jeanna Wright                      Assistant Minister         COMPNOR                             Finance
                Edward Malson                      Assistant Minister         COMPNOR                             Finance
                 Lola Jasinki                         Deputy Minister         COMPNOR                             Finance
              Isabelle Bowers                          Under Minister         COMPNOR                             Finance
                   Cori Largo                                Director         COMPNOR                             Finance
               Claire Nallice                                Director         COMPNOR                             Finance
                Zara Lorraine                                Director         COMPNOR                             Finance
                  Nathan Keys                      Assistant Minister         COMPNOR                             Finance
                  James Banks                      Assistant Minister         COMPNOR                             Finance
                  Dale Howler                         Deputy Minister         COMPNOR                             Justice
                 Paula Walker                      Assistant Minister         COMPNOR                             Justice
              Jillian Pruiett                      Assistant Minister         COMPNOR                             Justice
                   Bob Gallon                          Under Minister         COMPNOR                             Justice
                Thomas Morsen                         Deputy Minister         COMPNOR                             Justice
                  Rachel Love                         Deputy Minister         COMPNOR                             Justice
                    Amy Palli                      Assistant Minister         COMPNOR                             Justice
               Alana Carlizze                      Assistant Minister         COMPNOR                             Justice
                    Bail Kefa                       Solicitor General         COMPNOR                             Justice
               Karie Vladosky                         Deputy Minister         COMPNOR                             Justice
                George Millen                      Assistant Minister         COMPNOR                             Justice
                   Abbey York                      Assistant Minister         COMPNOR                             Justice
                  Rhett Byron                          Under Minister         COMPNOR                             Justice
               Karl Derringer                         Senior Director         COMPNOR                             Justice
                 Kristy Blume                      Assistant Minister         COMPNOR                             Justice
                 Traci Chonio                                Director         COMPNOR                             Justice
             William Bradbury                                Director         COMPNOR                             Justice
               Mara Flannigan                                Director         COMPNOR                             Justice
              Jack Wozencraft                                Director         COMPNOR                             Justice
                  Kim Billows                                Director         COMPNOR                             Justice
             Sameera Sulkenik                                Director         COMPNOR                             Justice
                  Kai Hudorra                                Director         COMPNOR                             Justice
                 Varesk Thyne                                Director         COMPNOR                             Justice
                 Clara Fenton                                Director         COMPNOR                             Justice
                 Jonas Lovett                                Director         COMPNOR                             Justice
             Elizabeth Bloome                                Director         COMPNOR                             Justice
                Jeremy Styles                                Director         COMPNOR                             Justice
              Cornelius Duane                      Assistant Minister         COMPNOR                             Justice
               Margaret Rowen                         Senior Director         COMPNOR                             Justice
               Lilly Gillinch                                Director         COMPNOR                             Justice
               Rebecca Becker                         Senior Director         COMPNOR                             Justice
               Robert Murphey                                Director         COMPNOR                             Justice
                  Lisa Shultz                         Senior Director         COMPNOR                             Justice
                   Sarah Keen                                Director         COMPNOR                             Justice
                 Eliane Moray                         Senior Director         COMPNOR                             Justice
             Denise Ballinger                                Director         COMPNOR                             Justice
               Edwin Markwell                         Senior Director         COMPNOR                             Justice
               Edmund Bentall                                Director         COMPNOR                             Justice
               Graham Meacham                         Senior Director         COMPNOR                             Justice
             Katherine Eubank                                Director         COMPNOR                             Justice
                Therese Woods                         Deputy Minister         COMPNOR                             Justice
                 Sarah Emmons                      Assistant Minister         COMPNOR                             Justice
                Chuck Manning                          Under Minister         COMPNOR                             Justice
               Dominic Paltry                         Senior Director         COMPNOR                             Justice
                 Karla Finane                         Senior Director         COMPNOR                             Justice
                 Eloise Baker                         Senior Director         COMPNOR                             Justice
                 Connie Hales                         Senior Director         COMPNOR                             Justice
               Richard McKean                         Senior Director         COMPNOR                             Justice
                 Brent Siegel                      Assistant Minister         COMPNOR                             Justice
                Bryce Vilsack                         Senior Director         COMPNOR                             Justice
                  Kevin Lyles                         Senior Director         COMPNOR                             Justice
             Jessica Kilnassa                         Senior Director         COMPNOR                             Justice
                Thomas Strife                         Senior Director         COMPNOR                             Justice
              Lola Lilinowski                         Senior Director         COMPNOR                             Justice
                 Carol Sutley                          Under Minister         COMPNOR                             Justice
                 Julie Gerich                                Director         COMPNOR                             Justice
                Tony Friessen                      Assistant Minister         COMPNOR                             Justice
                Mike Mollonok                      Assistant Minister         COMPNOR                             Justice
                 Jill Klaggan                      Assistant Minister         COMPNOR                             Justice
               Charles Fastow                      Assistant Minister         COMPNOR                             Justice
             Janice Firestone                      Assistant Minister         COMPNOR                             Justice
               Carlyn Racquel                      Assistant Minister         COMPNOR                             Justice
                 Alise Jayden                      Assistant Minister         COMPNOR                             Justice
                  Alayna Rina                      Assistant Minister         COMPNOR                             Justice
                Sylvia Tables                      Assistant Minister         COMPNOR                             Justice
               Isaac Mollanti                      Assistant Minister         COMPNOR                             Justice
              Derrick Fallows                         Deputy Minister         COMPNOR                             Justice
                  Stan Larkin                                Director         COMPNOR                             Justice
              Elaine Cruzanki                                Director         COMPNOR                             Justice
              Michael Collins                         Deputy Minister         COMPNOR                      Public Affairs
                  Emma Sunren                          Under Minister         COMPNOR                      Public Affairs
               Patrick Mellon                          Under Minister         COMPNOR                      Public Affairs
                  Macy Hettow                          Under Minister         COMPNOR                      Public Affairs
                Shannon Klien                         Deputy Minister         COMPNOR                      Public Affairs
                 Nate Carrick                         Deputy Minister         COMPNOR                      Public Affairs
             Kerri Bridgehill                      Assistant Minister         COMPNOR                      Public Affairs
                   John Vitek                         Deputy Minister         COMPNOR                      Public Affairs
                    Alex Kohn                         Deputy Minister         COMPNOR                      Public Affairs
                George Mannex                          Under Minister         COMPNOR                      Public Affairs
                  Jerry Sohen                         Senior Director         COMPNOR                      Public Affairs
                Ricky Jarvick                         Senior Director         COMPNOR                      Public Affairs
                 Laura Rogers                         Senior Director         COMPNOR                      Public Affairs
               John Mayefield                         Senior Director         COMPNOR                      Public Affairs
                 Joel Orlison                          Under Minister         COMPNOR                      Public Affairs
     Rachelle Jinkins, D.P.A.                      Assistant Minister         COMPNOR                      Public Affairs
           Jim Ballard, Art.D                      Assistant Minister         COMPNOR                      Public Affairs
                   Debbie Noe                      Assistant Minister         COMPNOR                      Public Affairs
                   Evan Daley                          Under Minister         COMPNOR                      Public Affairs
                  Amanda Eade                          Under Minister         COMPNOR                      Public Affairs
                Tyson Grammer                          Under Minister         COMPNOR                      Public Affairs
              Carol Tegartson                      Assistant Minister         COMPNOR                      Public Affairs
                 William Pike                      Assistant Minister         COMPNOR                      Public Affairs
             Jeanne Tomansini                      Assistant Minister         COMPNOR                      Public Affairs
                  Mona Lander                      Assistant Minister         COMPNOR                      Public Affairs
                Samuel Krucki                          Under Minister         COMPNOR                      Public Affairs
            Theodore Thatcher                          Under Minister         COMPNOR                      Public Affairs
              Michael Praxton                         Deputy Minister         COMPNOR                      Public Affairs
                  Zane Bowles                          Under Minister         COMPNOR                      Public Affairs
             Elanor Aquataine                      Assistant Minister         COMPNOR                      Public Affairs
             Constance Varzan                         Senior Director         COMPNOR                      Public Affairs
              Robin Rustafari                         Senior Director         COMPNOR                      Public Affairs
                 Talvin Crimi                         Senior Director         COMPNOR                      Public Affairs
            Margaret Reynolds                      Assistant Minister         COMPNOR                      Public Affairs
               Dianna Westley                         Senior Director         COMPNOR                      Public Affairs
              Kimberly Gamble                          Under Minister         COMPNOR                      Public Affairs
                  Jim Peffier                      Assistant Minister         COMPNOR                      Public Affairs
            Gabriella Hackins                      Assistant Minister         COMPNOR                      Public Affairs
                 Nora Ramstad                      Assistant Minister         COMPNOR                      Public Affairs
              Karen Steinberg                      Assistant Minister         COMPNOR                      Public Affairs
                Paolo Plubien                      Assistant Minister         COMPNOR                      Public Affairs
                Lori Brothson                      Assistant Minister         COMPNOR                      Public Affairs
            Natalie Bernstein                      Assistant Minister         COMPNOR                      Public Affairs
             Brittany Rosseau                                Director         COMPNOR                      Public Affairs
                Gayle Russell                                Director         COMPNOR                      Public Affairs
              Evanitha Gaylon                                Director         COMPNOR                      Public Affairs
                Jane Schapiro                                Director         COMPNOR                      Public Affairs
             Everard Chauncey                          Under Minister         COMPNOR                      Public Affairs
               Lauren Hoffman                         Deputy Minister         COMPNOR                      Public Affairs
                 Sven Travers                          Under Minister         COMPNOR                      Public Affairs
       Henrietta Marie Balvia                      Assistant Minister         COMPNOR                      Public Affairs
                Eero Bresemer                      Assistant Minister         COMPNOR                      Public Affairs
              Ludvig Jamieson                      Assistant Minister         COMPNOR                      Public Affairs
                  Arne Norris                      Assistant Minister         COMPNOR                      Public Affairs
               Kennith Ellery                      Assistant Minister         COMPNOR                      Public Affairs
              Curtis Mountain                                Director         COMPNOR                      Public Affairs
            Doris Genachowski                                Director         COMPNOR                      Public Affairs
                  Lena Kemper                         Senior Director         COMPNOR                      Public Affairs
                  Susan Solis                         Senior Director         COMPNOR                      Public Affairs
          Maximilian Augustus                         Deputy Minister         COMPNOR                              Health
                Jerry Shumway                          Under Minister         COMPNOR                              Health
               Alyssa Narbors                              Ambassador         COMPNOR                              Health
                Hilda Gythner                      Assistant Minister         COMPNOR                              Health
                 Kerry Fields                         Deputy Minister         COMPNOR                              Health
            Jonathon Hourigan                         Deputy Minister         COMPNOR                              Health
               Antarius Delvo                          Under Minister         COMPNOR                              Health
                James Hilmons                      Assistant Minister         COMPNOR                              Health
            Cheryl Burkhalter                                Director         COMPNOR                              Health
                  Eric Morris                                Director         COMPNOR                              Health
                Jacob Garlung                         Senior Director         COMPNOR                              Health
              Krystal Babblin                      Assistant Minister         COMPNOR                              Health
                Daniel Larson                                Director         COMPNOR                              Health
                 Tyler Saveen                          Under Minister         COMPNOR                              Health
            Horace Fallkinson                      Assistant Minister         COMPNOR                              Health
                  Rosie Wilks                      Assistant Minister         COMPNOR                              Health
                  Tina Galoki                      Assistant Minister         COMPNOR                              Health
                Nelson Hudson                      Assistant Minister         COMPNOR                              Health
               Kevin Miticahi                         Deputy Minister         COMPNOR                              Health
               Kristin Howard                          Under Minister         COMPNOR                              Health
                Lydia Salkins                          Under Minister         COMPNOR                              Health
                 Steven Chung                          Under Minister         COMPNOR                              Health
                Gregory Oster                          Under Minister         COMPNOR                              Health
                 Bryan Vargas                          Under Minister         COMPNOR                              Health
                  Daven Jiven                         Deputy Minister         COMPNOR                      Transportation
                Andrew Kaplan                          Under Minister         COMPNOR                      Transportation
                Lynette Romer                      Assistant Minister         COMPNOR                      Transportation
                 Cassandra Lu                      Assistant Minister         COMPNOR                      Transportation
                  Katy Varney                              Commandant         COMPNOR                      Transportation
                    Brad Kale                              Commandant         COMPNOR                      Transportation
            Stephanie Messina                          Under Minister         COMPNOR                      Transportation
